Vehicle ID,Departure Time,Arrival Time,Travel Time,Waiting Time,Route Length
ai_607e49b6daf9420fb7393ca468446f0d,384.8,473.9,89.1,39.8,400.29
ai_9c67b178063b47b89772264bd5613b0a,312.3,474.3,162.0,62.9,843.52
ai_ac784be0335d4390bfb54e7f59c13c58,307.8,475.8,168.0,58.6,857.63
ai_4c7e7cd13d074bc883f443629e1c7d68,391.2,476.5,85.3,0.0,858.4
ai_68f674f702cd41b0ae151a6457e64f4e,350.7,478.0,127.3,40.8,860.2
ai_1b69d65fff2f414a9f077e63b78b6783,403.8,479.5,75.7,0.0,863.0
ai_0a2c995c0f1647df9969231e917b691d,413.8,482.6,68.8,17.9,631.99
ai_f78c98cc3f1444eba6742857f6bcac07,433.1,491.2,58.1,0.0,626.85
ai_68be4c3c59dd4306944e29ea0b70241e,438.7,493.5,54.8,0.0,643.97
ai_f5080f315dc64216a3d201e5034f40c9,441.4,495.4,54.0,0.0,643.97
ai_ae3a41b50bd84702bb2dbfc1d2b5db12,334.7,512.7,178.0,74.7,948.49
ai_93f58870198a460cbf3cb8758ff83699,451.7,513.2,61.5,24.2,402.39
ai_f0b6a937c022492dbd5262887b9bfd6e,407.5,514.6,107.1,33.1,870.67
ai_95eeafffbc4b4dc3820dfa2571d00b63,412.7,515.1,102.4,44.5,627.31
ai_50b1beffe5004e8eba43a1dd07bb564e,409.4,515.6,106.2,41.5,627.0
ai_623fa2a991f3491a9e290e48f2032149,444.0,517.2,73.2,0.0,830.68
ai_7ca4edd572e54ca288913e7a0fce74a1,417.8,518.1,100.3,31.8,614.0
ai_a409761d2d8744de8658a4db007e5338,449.8,519.6,69.8,7.7,614.0
ai_c1151de40aa347c295f038383fab7afc,370.3,520.5,150.2,69.4,843.52
ai_02607e97dfcd4980b8a95366a0b9c0ed,453.6,521.0,67.4,5.0,626.84
ai_b66a93966a23464584164a919592d1a0,436.0,522.0,86.0,19.7,639.84
ai_3d0fa9ac74fb48699367797c9763ffac,446.5,522.1,75.6,8.6,638.21
ai_cf210110491c43629d79cc46f251ff7b,471.4,522.3,50.9,2.4,405.25
ai_daa32a1fafb3459897b523690c67044f,407.1,524.5,117.4,23.3,843.52
ai_a46ac3c2e72a4fc582ffe9d43bcd7819,428.5,527.6,99.1,0.0,843.52
ai_3c464b63840448b6a3a80b22720ed02b,436.0,530.8,94.8,1.0,953.65
ai_67475290d45a43dea6f8f5ab75fe7cdc,423.1,535.2,112.1,28.3,868.14
ai_b2346795c25c44fd9ae2c744415d23f4,414.7,535.5,120.8,9.1,946.39
ai_212fa7b0f94743fbb660e895ef3f7447,454.9,536.9,82.0,0.0,866.04
ai_2ac22f17e11741e4a2aac046b27abba5,379.6,539.7,160.1,56.9,852.73
ai_ebda9e682af244468f09bca34e76d5b4,449.3,552.9,103.6,21.1,857.36
ai_b5f84a84b614473bbb0c990640d0f0af,446.6,556.0,109.4,23.0,870.2
ai_8194df1f4600425ea22d885297aad032,425.7,558.5,132.8,49.2,843.52
ai_8fa67d02d82a4122b422c74846502ba8,458.3,561.3,103.0,42.4,631.99
ai_474cae190633403b8784a14cca4867ea,416.2,561.6,145.4,29.1,856.36
ai_cd20a2e50c984c7099feeedce43af60b,499.0,563.8,64.8,19.7,420.9
ai_e3bf43a9a60044e393db0cba292e3442,419.7,565.2,145.5,34.9,868.6
ai_e9d31ec6d190450ebfe426535a975300,432.8,565.2,132.4,25.2,841.42
ai_073334ab34574329bc7ba3fc891b099b,473.6,565.3,91.7,40.8,413.13
ai_e2fb6bc84fee42d0bba83b6f9af6fa11,412.3,565.6,153.3,49.6,852.73
ai_1423603c69e245dea6e95ded4f40cf4f,402.0,565.8,163.8,64.4,868.6
ai_2e223d6de5ca4f10884b39efcb990475,429.0,566.5,137.5,39.3,853.5
ai_e5ed9cfba6cb458f98f031b67ba5b8cd,419.9,566.9,147.0,37.1,867.67
ai_8d818c5f3bc9498290c53e751b3e24bb,516.6,566.9,50.3,0.0,415.23
ai_54b4088cc7204fe189419d0a2688df28,465.0,567.6,102.6,14.2,846.89
ai_2b9f5f2b55784a1e898f04b8e55e23e6,461.0,567.9,106.9,10.7,847.83
ai_11d328536055476fbdc756d80aeafe5a,452.4,568.4,116.0,4.8,843.52
ai_f900ff04c1154e219d127f3551a5216b,446.1,569.3,123.2,23.1,859.73
ai_60f3f9f1f0c34ed791234f1c7c44d01c,480.6,569.6,89.0,42.1,631.99
ai_364fdc71e8af4d0f9107c21749622529,486.3,570.2,83.9,37.5,646.77
ai_3a6e2399417041d4a21d89bf612194c2,475.9,570.9,95.0,11.3,859.73
ai_df1ef4175ea74ed5b47410b6c23bea09,457.5,572.4,114.9,25.2,860.2
